period,category,segment,metric,value,unit,direction,source
2020-01,Operations,Global,OEE (%),83.56,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2022-08,Operations,Global,OEE (%),80.74,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2022-09,Operations,Global,OEE (%),81.68,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2022-10,Operations,Global,OEE (%),82.62,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2022-11,Operations,Global,OEE (%),83.56,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2022-12,Operations,Global,OEE (%),84.5,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2023-01,Operations,Global,OEE (%),84.5,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2023-02,Operations,Global,OEE (%),84.5,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2023-03,Operations,Global,OEE (%),84.5,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2023-04,Operations,Global,OEE (%),84.5,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2023-05,Operations,Global,OEE (%),84.5,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2023-06,Operations,Global,OEE (%),84.5,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2023-07,Operations,Global,OEE (%),84.5,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2023-08,Operations,Global,OEE (%),84.5,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2023-09,Operations,Global,OEE (%),84.5,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2023-10,Operations,Global,OEE (%),84.5,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2023-11,Operations,Global,OEE (%),84.5,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2023-12,Operations,Global,OEE (%),84.5,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2024-01,Operations,Global,OEE (%),84.5,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2024-02,Operations,Global,OEE (%),84.5,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2024-03,Operations,Global,OEE (%),84.5,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2024-04,Operations,Global,OEE (%),84.5,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2024-05,Operations,Global,OEE (%),84.5,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2024-06,Operations,Global,OEE (%),84.5,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2024-07,Operations,Global,OEE (%),84.5,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2024-08,Operations,Global,OEE (%),84.5,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2024-09,Operations,Global,OEE (%),84.5,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2024-10,Operations,Global,OEE (%),84.5,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2024-11,Operations,Global,OEE (%),84.5,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2024-12,Operations,Global,OEE (%),84.5,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2025-01,Operations,Global,OEE (%),84.5,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2025-02,Operations,Global,OEE (%),84.5,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2025-03,Operations,Global,OEE (%),84.5,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2025-04,Operations,Global,OEE (%),79.99,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2025-05,Operations,Global,OEE (%),75.49,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2025-06,Operations,Global,OEE (%),70.98,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2025-07,Operations,Global,OEE (%),66.47,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2025-08,Operations,Global,OEE (%),61.97,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2025-09,Operations,Global,OEE (%),57.46,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2025-10,Operations,Global,OEE (%),60.46,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2025-11,Operations,Global,OEE (%),63.47,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2025-12,Operations,Global,OEE (%),66.47,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2026-01,Operations,Global,OEE (%),69.48,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2026-02,Operations,Global,OEE (%),72.48,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2026-03,Operations,Global,OEE (%),75.49,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2026-04,Operations,Global,OEE (%),78.49,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2026-05,Operations,Global,OEE (%),81.5,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2026-06,Operations,Global,OEE (%),84.5,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2020-01,Operations,Global,Defect Rate (%),1.1,%,down,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2020-02,Operations,Global,Defect Rate (%),1.1,%,down,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2020-03,Operations,Global,Defect Rate (%),1.1,%,down,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2020-04,Operations,Global,Defect Rate (%),1.1,%,down,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2020-05,Operations,Global,Defect Rate (%),1.1,%,down,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2020-06,Operations,Global,Defect Rate (%),1.1,%,down,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2020-07,Operations,Global,Defect Rate (%),1.1,%,down,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2020-08,Operations,Global,Defect Rate (%),1.1,%,down,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2020-09,Operations,Global,Defect Rate (%),1.1,%,down,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2020-10,Operations,Global,Defect Rate (%),1.1,%,down,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2020-11,Operations,Global,Defect Rate (%),1.1,%,down,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2020-12,Operations,Global,Defect Rate (%),1.1,%,down,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2021-01,Operations,Global,Defect Rate (%),1.1,%,down,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2021-02,Operations,Global,Defect Rate (%),1.1,%,down,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2021-03,Operations,Global,Defect Rate (%),1.1,%,down,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2021-04,Operations,Global,Defect Rate (%),1.1,%,down,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2021-05,Operations,Global,Defect Rate (%),1.1,%,down,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2021-06,Operations,Global,Defect Rate (%),1.1,%,down,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2021-07,Operations,Global,Defect Rate (%),1.1,%,down,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2021-08,Operations,Global,Defect Rate (%),1.1,%,down,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2021-09,Operations,Global,Defect Rate (%),1.1,%,down,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2021-10,Operations,Global,Defect Rate (%),1.1,%,down,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2021-11,Operations,Global,Defect Rate (%),1.1,%,down,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2021-12,Operations,Global,Defect Rate (%),1.1,%,down,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2022-01,Operations,Global,Defect Rate (%),1.1,%,down,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2022-02,Operations,Global,Defect Rate (%),1.1,%,down,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2022-03,Operations,Global,Defect Rate (%),1.1,%,down,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2022-04,Operations,Global,Defect Rate (%),1.1,%,down,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2022-05,Operations,Global,Defect Rate (%),1.1,%,down,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2022-06,Operations,Global,Defect Rate (%),1.1,%,down,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2022-07,Operations,Global,Defect Rate (%),1.1,%,down,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2022-08,Operations,Global,Defect Rate (%),1.1,%,down,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2022-09,Operations,Global,Defect Rate (%),1.1,%,down,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2022-10,Operations,Global,Defect Rate (%),1.1,%,down,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2022-11,Operations,Global,Defect Rate (%),1.1,%,down,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2022-12,Operations,Global,Defect Rate (%),1.1,%,down,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2023-01,Operations,Global,Defect Rate (%),1.1,%,down,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2023-02,Operations,Global,Defect Rate (%),1.1,%,down,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2023-03,Operations,Global,Defect Rate (%),1.1,%,down,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2023-04,Operations,Global,Defect Rate (%),1.1,%,down,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2023-05,Operations,Global,Defect Rate (%),1.1,%,down,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2023-06,Operations,Global,Defect Rate (%),1.1,%,down,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2023-07,Operations,Global,Defect Rate (%),1.1,%,down,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2023-08,Operations,Global,Defect Rate (%),1.1,%,down,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2023-09,Operations,Global,Defect Rate (%),1.1,%,down,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2023-10,Operations,Global,Defect Rate (%),1.1,%,down,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2023-11,Operations,Global,Defect Rate (%),1.1,%,down,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2023-12,Operations,Global,Defect Rate (%),1.1,%,down,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2024-01,Operations,Global,Defect Rate (%),1.1,%,down,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2024-02,Operations,Global,Defect Rate (%),1.1,%,down,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2024-03,Operations,Global,Defect Rate (%),1.1,%,down,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2024-04,Operations,Global,Defect Rate (%),1.1,%,down,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2024-05,Operations,Global,Defect Rate (%),1.1,%,down,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2024-06,Operations,Global,Defect Rate (%),1.1,%,down,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2024-07,Operations,Global,Defect Rate (%),1.1,%,down,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2024-08,Operations,Global,Defect Rate (%),1.1,%,down,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2024-09,Operations,Global,Defect Rate (%),1.1,%,down,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2024-10,Operations,Global,Defect Rate (%),1.1,%,down,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2024-11,Operations,Global,Defect Rate (%),1.1,%,down,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2024-12,Operations,Global,Defect Rate (%),1.1,%,down,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2025-01,Operations,Global,Defect Rate (%),1.1,%,down,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2025-02,Operations,Global,Defect Rate (%),1.1,%,down,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2025-03,Operations,Global,Defect Rate (%),1.1,%,down,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2025-04,Operations,Global,Defect Rate (%),1.74,%,down,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2025-05,Operations,Global,Defect Rate (%),2.38,%,down,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2025-06,Operations,Global,Defect Rate (%),3.03,%,down,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2025-07,Operations,Global,Defect Rate (%),3.67,%,down,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2025-08,Operations,Global,Defect Rate (%),4.31,%,down,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2025-09,Operations,Global,Defect Rate (%),4.95,%,down,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2025-10,Operations,Global,Defect Rate (%),4.52,%,down,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2025-11,Operations,Global,Defect Rate (%),4.09,%,down,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2025-12,Operations,Global,Defect Rate (%),3.67,%,down,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2026-01,Operations,Global,Defect Rate (%),3.24,%,down,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2026-02,Operations,Global,Defect Rate (%),2.81,%,down,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2026-03,Operations,Global,Defect Rate (%),2.38,%,down,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2026-04,Operations,Global,Defect Rate (%),1.96,%,down,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2026-05,Operations,Global,Defect Rate (%),1.53,%,down,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2026-06,Operations,Global,Defect Rate (%),1.1,%,down,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2020-01,Operations,Global,First Pass Yield (%),93.2,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2020-02,Operations,Global,First Pass Yield (%),93.2,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2020-03,Operations,Global,First Pass Yield (%),93.2,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2020-04,Operations,Global,First Pass Yield (%),93.2,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2020-05,Operations,Global,First Pass Yield (%),93.2,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2020-06,Operations,Global,First Pass Yield (%),93.2,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2020-07,Operations,Global,First Pass Yield (%),93.2,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2020-08,Operations,Global,First Pass Yield (%),93.2,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2020-09,Operations,Global,First Pass Yield (%),93.2,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2020-10,Operations,Global,First Pass Yield (%),93.2,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2020-11,Operations,Global,First Pass Yield (%),93.2,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2020-12,Operations,Global,First Pass Yield (%),93.2,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2021-01,Operations,Global,First Pass Yield (%),93.2,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2021-02,Operations,Global,First Pass Yield (%),93.2,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2021-03,Operations,Global,First Pass Yield (%),93.2,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2021-04,Operations,Global,First Pass Yield (%),93.2,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2021-05,Operations,Global,First Pass Yield (%),93.2,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2021-06,Operations,Global,First Pass Yield (%),93.2,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2021-07,Operations,Global,First Pass Yield (%),93.2,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2021-08,Operations,Global,First Pass Yield (%),93.2,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2021-09,Operations,Global,First Pass Yield (%),93.2,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2021-10,Operations,Global,First Pass Yield (%),93.2,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2021-11,Operations,Global,First Pass Yield (%),93.2,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2021-12,Operations,Global,First Pass Yield (%),93.2,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2022-01,Operations,Global,First Pass Yield (%),93.2,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2022-02,Operations,Global,First Pass Yield (%),93.2,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2022-03,Operations,Global,First Pass Yield (%),93.2,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2022-04,Operations,Global,First Pass Yield (%),93.2,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2022-05,Operations,Global,First Pass Yield (%),93.2,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2022-06,Operations,Global,First Pass Yield (%),93.2,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2022-07,Operations,Global,First Pass Yield (%),93.2,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2022-08,Operations,Global,First Pass Yield (%),93.2,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2022-09,Operations,Global,First Pass Yield (%),93.2,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2022-10,Operations,Global,First Pass Yield (%),93.2,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
