company,sector,domain,metric,value,period,date
CloudSync Pro,SaaS,Finance,revenue,26940935981.492317,2019-03,2019-03-11T00:00:00
CloudSync Pro,SaaS,Finance,revenue,31903682727.11577,2019-04,2019-04-10T00:00:00
CloudSync Pro,SaaS,Finance,revenue,38541459802.64938,2019-05,2019-05-10T00:00:00
CloudSync Pro,SaaS,Finance,revenue,48851595894.98708,2019-06,2019-06-09T00:00:00
CloudSync Pro,SaaS,Finance,revenue,61302124658.179985,2019-07,2019-07-09T00:00:00
CloudSync Pro,SaaS,Finance,revenue,81314463202.22678,2019-08,2019-08-08T00:00:00
CloudSync Pro,SaaS,Finance,revenue,117701385131.37723,2019-09,2019-09-07T00:00:00
CloudSync Pro,SaaS,Finance,revenue,154462503690.95758,2019-10,2019-10-07T00:00:00
CloudSync Pro,SaaS,Finance,revenue,217162465444.36017,2019-11,2019-11-06T00:00:00
CloudSync Pro,SaaS,Finance,revenue,216905153231.07544,2019-12,2019-12-06T00:00:00
CloudSync Pro,SaaS,Finance,revenue,323545778451.8903,2020-01,2020-01-05T00:00:00
CloudSync Pro,SaaS,Finance,revenue,382733909477.1493,2020-02,2020-02-04T00:00:00
CloudSync Pro,SaaS,Finance,revenue,424450509432.5406,2020-03,2020-03-05T00:00:00
CloudSync Pro,SaaS,Finance,revenue,482603943076.1092,2020-04,2020-04-04T00:00:00
CloudSync Pro,SaaS,Finance,revenue,568204980547.3955,2020-05,2020-05-04T00:00:00
CloudSync Pro,SaaS,Finance,revenue,814290023348.6683,2020-06,2020-06-03T00:00:00
CloudSync Pro,SaaS,Finance,revenue,1055992878790.2893,2020-07,2020-07-03T00:00:00
CloudSync Pro,SaaS,Finance,revenue,1253486606392.1372,2020-08,2020-08-02T00:00:00
CloudSync Pro,SaaS,Finance,revenue,1506471587856.6033,2020-09,2020-09-01T00:00:00
CloudSync Pro,SaaS,Finance,revenue,1724605411963.8813,2020-10,2020-10-01T00:00:00
CloudSync Pro,SaaS,Finance,revenue,1425025933662.3428,2020-10,2020-10-31T00:00:00
CloudSync Pro,SaaS,Finance,revenue,1697242395480.5967,2020-11,2020-11-30T00:00:00
CloudSync Pro,SaaS,Finance,revenue,2699885898995.427,2020-12,2020-12-30T00:00:00
CloudSync Pro,SaaS,Finance,revenue,2881360946684.1387,2021-01,2021-01-29T00:00:00
CloudSync Pro,SaaS,Finance,revenue,3700114294446.1646,2021-02,2021-02-28T00:00:00
CloudSync Pro,SaaS,Finance,revenue,4345384280065.9746,2021-03,2021-03-30T00:00:00
CloudSync Pro,SaaS,Finance,revenue,5876700891894.929,2021-04,2021-04-29T00:00:00
CloudSync Pro,SaaS,Finance,revenue,7553502093694.294,2021-05,2021-05-29T00:00:00
CloudSync Pro,SaaS,Finance,revenue,11607808259971.508,2021-06,2021-06-28T00:00:00
CloudSync Pro,SaaS,Finance,revenue,12150129856745.254,2021-07,2021-07-28T00:00:00
CloudSync Pro,SaaS,Finance,revenue,13816977333916.416,2021-08,2021-08-27T00:00:00
CloudSync Pro,SaaS,Finance,revenue,17460589917784.98,2021-09,2021-09-26T00:00:00
CloudSync Pro,SaaS,Finance,revenue,25502798845443.633,2021-10,2021-10-26T00:00:00
CloudSync Pro,SaaS,Finance,revenue,32652818623926.266,2021-11,2021-11-25T00:00:00
CloudSync Pro,SaaS,Finance,revenue,34556244541016.094,2021-12,2021-12-25T00:00:00
CloudSync Pro,SaaS,Finance,revenue,37243293112034.586,2022-01,2022-01-24T00:00:00
CloudSync Pro,SaaS,Finance,revenue,39351590835014.76,2022-02,2022-02-23T00:00:00
CloudSync Pro,SaaS,Finance,revenue,50644053806354.266,2022-03,2022-03-25T00:00:00
CloudSync Pro,SaaS,Finance,revenue,60390540007354.64,2022-04,2022-04-24T00:00:00
CloudSync Pro,SaaS,Finance,revenue,67728047260672.76,2022-05,2022-05-24T00:00:00
CloudSync Pro,SaaS,Finance,revenue,73891189417653.1,2022-06,2022-06-23T00:00:00
CloudSync Pro,SaaS,Finance,revenue,83362654216790.94,2022-07,2022-07-23T00:00:00
CloudSync Pro,SaaS,Finance,revenue,111344619151938.4,2022-08,2022-08-22T00:00:00
CloudSync Pro,SaaS,Finance,revenue,169827099929121.03,2022-09,2022-09-21T00:00:00
CloudSync Pro,SaaS,Finance,revenue,174375405807124.3,2022-10,2022-10-21T00:00:00
CloudSync Pro,SaaS,Finance,revenue,263765776008083.12,2022-11,2022-11-20T00:00:00
CloudSync Pro,SaaS,Finance,revenue,290370364148398.9,2022-12,2022-12-20T00:00:00
CloudSync Pro,SaaS,Finance,revenue,315061188311063.8,2023-01,2023-01-19T00:00:00
CloudSync Pro,SaaS,Finance,revenue,316546111064469.6,2023-02,2023-02-18T00:00:00
CloudSync Pro,SaaS,Finance,revenue,431518415383148.44,2023-03,2023-03-20T00:00:00
CloudSync Pro,SaaS,Finance,revenue,631821109870340.2,2023-04,2023-04-19T00:00:00
CloudSync Pro,SaaS,Finance,revenue,839066430113487.1,2023-05,2023-05-19T00:00:00
CloudSync Pro,SaaS,Finance,revenue,1262605995418307.5,2023-06,2023-06-18T00:00:00
CloudSync Pro,SaaS,Finance,revenue,1594027818667459.8,2023-07,2023-07-18T00:00:00
CloudSync Pro,SaaS,Finance,revenue,1753935639404903.8,2023-08,2023-08-17T00:00:00
CloudSync Pro,SaaS,Finance,revenue,1911450832342906.2,2023-09,2023-09-16T00:00:00
CloudSync Pro,SaaS,Finance,revenue,1861731967672164.0,2023-10,2023-10-16T00:00:00
CloudSync Pro,SaaS,Finance,revenue,2612677821831798.0,2023-11,2023-11-15T00:00:00
CloudSync Pro,SaaS,Finance,revenue,4219730255843228.5,2023-12,2023-12-15T00:00:00
CloudSync Pro,SaaS,Finance,revenue,5283148693546068.0,2024-01,2024-01-14T00:00:00
CloudSync Pro,SaaS,Finance,revenue,5370507361570360.0,2024-02,2024-02-13T00:00:00
CloudSync Pro,SaaS,Finance,revenue,5785665804220278.0,2024-03,2024-03-14T00:00:00
CloudSync Pro,SaaS,Finance,revenue,9153217088718584.0,2024-04,2024-04-13T00:00:00
CloudSync Pro,SaaS,Finance,revenue,1.0261692142148832e+16,2024-05,2024-05-13T00:00:00
CloudSync Pro,SaaS,Finance,revenue,1.292037061544183e+16,2024-06,2024-06-12T00:00:00
CloudSync Pro,SaaS,Finance,revenue,1.6846090822450452e+16,2024-07,2024-07-12T00:00:00
CloudSync Pro,SaaS,Finance,revenue,1.7773530795271088e+16,2024-08,2024-08-11T00:00:00
CloudSync Pro,SaaS,Finance,revenue,1.871619238242463e+16,2024-09,2024-09-10T00:00:00
CloudSync Pro,SaaS,Finance,revenue,1.88447184866668e+16,2024-10,2024-10-10T00:00:00
CloudSync Pro,SaaS,Finance,revenue,1.998949676858329e+16,2024-11,2024-11-09T00:00:00
CloudSync Pro,SaaS,Finance,revenue,2.098311881523427e+16,2024-12,2024-12-09T00:00:00
CloudSync Pro,SaaS,Finance,revenue,2.8604170756659588e+16,2025-01,2025-01-08T00:00:00
CloudSync Pro,SaaS,Finance,revenue,3.82527890760113e+16,2025-02,2025-02-07T00:00:00
CloudSync Pro,SaaS,Finance,revenue,4.210587682906414e+16,2025-03,2025-03-09T00:00:00
CloudSync Pro,SaaS,Finance,revenue,5.996747752975095e+16,2025-04,2025-04-08T00:00:00
CloudSync Pro,SaaS,Finance,revenue,7.21572077033226e+16,2025-05,2025-05-08T00:00:00
CloudSync Pro,SaaS,Finance,revenue,8.016650936144291e+16,2025-06,2025-06-07T00:00:00
CloudSync Pro,SaaS,Finance,revenue,1.0014118205770272e+17,2025-07,2025-07-07T00:00:00
CloudSync Pro,SaaS,Finance,revenue,1.1113854833987008e+17,2025-08,2025-08-06T00:00:00
CloudSync Pro,SaaS,Finance,revenue,1.2915967857757971e+17,2025-09,2025-09-05T00:00:00
CloudSync Pro,SaaS,Finance,revenue,1.6260055639138954e+17,2025-10,2025-10-05T00:00:00
CloudSync Pro,SaaS,Finance,revenue,2.2734561720066074e+17,2025-11,2025-11-04T00:00:00
CloudSync Pro,SaaS,Finance,revenue,2.7389916727599267e+17,2025-12,2025-12-04T00:00:00
CloudSync Pro,SaaS,Finance,revenue,3.240776680681373e+17,2026-01,2026-01-03T00:00:00
CloudSync Pro,SaaS,Finance,revenue,3.6719393475185235e+17,2026-02,2026-02-02T00:00:00
CloudSync Pro,SaaS,Finance,revenue,4.2183828979910445e+17,2026-03,2026-03-04T00:00:00
CloudSync Pro,SaaS,Finance,revenue,5.667123280679657e+17,2026-04,2026-04-03T00:00:00
CloudSync Pro,SaaS,Finance,revenue,6.448547989450884e+17,2026-05,2026-05-03T00:00:00
CloudSync Pro,SaaS,Finance,revenue,9.500886635361324e+17,2026-06,2026-06-02T00:00:00
CloudSync Pro,SaaS,Finance,revenue,1.2743797933542436e+18,2026-07,2026-07-02T00:00:00
CloudSync Pro,SaaS,Finance,revenue,1.578702447554415e+18,2026-08,2026-08-01T00:00:00
CloudSync Pro,SaaS,Finance,revenue,2.431225392834478e+18,2026-08,2026-08-31T00:00:00
CloudSync Pro,SaaS,Finance,revenue,3.2564486639844255e+18,2026-09,2026-09-30T00:00:00
CloudSync Pro,SaaS,Finance,gross_margin,0.6,2015-01,2015-01-01T00:00:00
CloudSync Pro,SaaS,Finance,gross_margin,0.6210971354878424,2015-01,2015-01-31T00:00:00
CloudSync Pro,SaaS,Finance,gross_margin,0.7208103885338164,2015-03,2015-03-02T00:00:00
CloudSync Pro,SaaS,Finance,gross_margin,0.8099903160219016,2015-04,2015-04-01T00:00:00
CloudSync Pro,SaaS,Finance,gross_margin,0.7220897749444173,2015-05,2015-05-01T00:00:00
CloudSync Pro,SaaS,Finance,gross_margin,0.7509063437225152,2015-05,2015-05-31T00:00:00
CloudSync Pro,SaaS,Finance,gross_margin,0.7705568540592129,2015-06,2015-06-30T00:00:00
CloudSync Pro,SaaS,Finance,gross_margin,0.6723579405741962,2015-07,2015-07-30T00:00:00
CloudSync Pro,SaaS,Finance,gross_margin,0.6573389892199482,2015-08,2015-08-29T00:00:00
CloudSync Pro,SaaS,Finance,gross_margin,0.6016005175837019,2015-09,2015-09-28T00:00:00
CloudSync Pro,SaaS,Finance,gross_margin,0.6095381481555975,2015-10,2015-10-28T00:00:00
CloudSync Pro,SaaS,Finance,gross_margin,0.6867598071336098,2015-11,2015-11-27T00:00:00
CloudSync Pro,SaaS,Finance,gross_margin,0.6299805929108447,2015-12,2015-12-27T00:00:00
CloudSync Pro,SaaS,Finance,gross_margin,0.6260278271165558,2016-01,2016-01-26T00:00:00
CloudSync Pro,SaaS,Finance,gross_margin,0.6239342292641314,2016-02,2016-02-25T00:00:00
CloudSync Pro,SaaS,Finance,gross_margin,0.6367883571896776,2016-03,2016-03-26T00:00:00
CloudSync Pro,SaaS,Finance,gross_margin,0.60519455916811,2016-04,2016-04-25T00:00:00
CloudSync Pro,SaaS,Finance,gross_margin,0.5975776333403752,2016-05,2016-05-25T00:00:00
CloudSync Pro,SaaS,Finance,gross_margin,0.6212542553334715,2016-06,2016-06-24T00:00:00
CloudSync Pro,SaaS,Finance,gross_margin,0.7064838722321554,2016-07,2016-07-24T00:00:00
CloudSync Pro,SaaS,Finance,gross_margin,0.7324792319751826,2016-08,2016-08-23T00:00:00
CloudSync Pro,SaaS,Finance,gross_margin,0.6625637368329823,2016-09,2016-09-22T00:00:00
CloudSync Pro,SaaS,Finance,gross_margin,0.7648669710605978,2016-10,2016-10-22T00:00:00
CloudSync Pro,SaaS,Finance,gross_margin,0.7200038113343872,2016-11,2016-11-21T00:00:00
CloudSync Pro,SaaS,Finance,gross_margin,0.8238490233979242,2016-12,2016-12-21T00:00:00
CloudSync Pro,SaaS,Finance,gross_margin,0.8230308372142376,2017-01,2017-01-20T00:00:00
CloudSync Pro,SaaS,Finance,gross_margin,0.7816877169582711,2017-02,2017-02-19T00:00:00
CloudSync Pro,SaaS,Finance,gross_margin,0.873218018080316,2017-03,2017-03-21T00:00:00
CloudSync Pro,SaaS,Finance,gross_margin,0.7955290070129477,2017-04,2017-04-20T00:00:00
CloudSync Pro,SaaS,Finance,gross_margin,0.85067927975893,2017-05,2017-05-20T00:00:00
CloudSync Pro,SaaS,Finance,gross_margin,0.8124023951201805,2017-06,2017-06-19T00:00:00
CloudSync Pro,SaaS,Finance,gross_margin,0.7709086460383375,2017-07,2017-07-19T00:00:00
CloudSync Pro,SaaS,Finance,gross_margin,0.6904661987562397,2017-08,2017-08-18T00:00:00
CloudSync Pro,SaaS,Finance,gross_margin,0.6715633914986243,2017-09,2017-09-17T00:00:00
CloudSync Pro,SaaS,Finance,gross_margin,0.5977977314913926,2017-10,2017-10-17T00:00:00
CloudSync Pro,SaaS,Finance,gross_margin,0.5102706682377021,2017-11,2017-11-16T00:00:00
CloudSync Pro,SaaS,Finance,gross_margin,0.5810829621578077,2017-12,2017-12-16T00:00:00
CloudSync Pro,SaaS,Finance,gross_margin,0.6982403875911886,2018-01,2018-01-15T00:00:00
CloudSync Pro,SaaS,Finance,gross_margin,0.77431421291722,2018-02,2018-02-14T00:00:00
CloudSync Pro,SaaS,Finance,gross_margin,0.7826221115976898,2018-03,2018-03-16T00:00:00
CloudSync Pro,SaaS,Finance,gross_margin,0.8521834757223181,2018-04,2018-04-15T00:00:00
CloudSync Pro,SaaS,Finance,gross_margin,0.8669522284013561,2018-05,2018-05-15T00:00:00
CloudSync Pro,SaaS,Finance,gross_margin,0.9882015643552529,2018-06,2018-06-14T00:00:00
CloudSync Pro,SaaS,Finance,gross_margin,0.8781677582434296,2018-07,2018-07-14T00:00:00
CloudSync Pro,SaaS,Finance,gross_margin,0.884532627507415,2018-08,2018-08-13T00:00:00
CloudSync Pro,SaaS,Finance,gross_margin,0.9319701428691767,2018-09,2018-09-12T00:00:00
CloudSync Pro,SaaS,Finance,gross_margin,0.9199123742432909,2018-10,2018-10-12T00:00:00
CloudSync Pro,SaaS,Finance,gross_margin,1.0141665888344964,2018-11,2018-11-11T00:00:00
CloudSync Pro,SaaS,Finance,gross_margin,1.0753693749470434,2018-12,2018-12-11T00:00:00
CloudSync Pro,SaaS,Finance,gross_margin,1.0919775591902963,2019-01,2019-01-10T00:00:00
CloudSync Pro,SaaS,Finance,gross_margin,1.106493968285197,2019-02,2019-02-09T00:00:00
CloudSync Pro,SaaS,Finance,gross_margin,1.2315500979239031,2019-03,2019-03-11T00:00:00
CloudSync Pro,SaaS,Finance,gross_margin,1.2866354550092707,2019-04,2019-04-10T00:00:00
CloudSync Pro,SaaS,Finance,gross_margin,1.5015151727904883,2019-05,2019-05-10T00:00:00
CloudSync Pro,SaaS,Finance,gross_margin,1.4229552732512243,2019-06,2019-06-09T00:00:00
CloudSync Pro,SaaS,Finance,gross_margin,1.4582654060252056,2019-07,2019-07-09T00:00:00
CloudSync Pro,SaaS,Finance,gross_margin,1.4633909819564865,2019-08,2019-08-08T00:00:00
CloudSync Pro,SaaS,Finance,gross_margin,1.558060435546782,2019-09,2019-09-07T00:00:00
CloudSync Pro,SaaS,Finance,gross_margin,1.5711198742374006,2019-10,2019-10-07T00:00:00
CloudSync Pro,SaaS,Finance,gross_margin,1.6624609677074165,2019-11,2019-11-06T00:00:00
CloudSync Pro,SaaS,Finance,gross_margin,1.6469283923926807,2019-12,2019-12-06T00:00:00
CloudSync Pro,SaaS,Finance,gross_margin,1.532612504034084,2020-01,2020-01-05T00:00:00
CloudSync Pro,SaaS,Finance,gross_margin,1.6461428169283485,2020-02,2020-02-04T00:00:00
CloudSync Pro,SaaS,Finance,gross_margin,1.7343552016847281,2020-03,2020-03-05T00:00:00
CloudSync Pro,SaaS,Finance,gross_margin,1.829699751795464,2020-04,2020-04-04T00:00:00
CloudSync Pro,SaaS,Finance,gross_margin,1.6352205491478882,2020-05,2020-05-04T00:00:00
CloudSync Pro,SaaS,Finance,gross_margin,1.7006485229550004,2020-06,2020-06-03T00:00:00
CloudSync Pro,SaaS,Finance,gross_margin,1.6350828392568189,2020-07,2020-07-03T00:00:00
CloudSync Pro,SaaS,Finance,gross_margin,1.580908510474645,2020-08,2020-08-02T00:00:00
CloudSync Pro,SaaS,Finance,gross_margin,1.68623842497331,2020-09,2020-09-01T00:00:00
CloudSync Pro,SaaS,Finance,gross_margin,1.9932530078812798,2020-10,2020-10-01T00:00:00
CloudSync Pro,SaaS,Finance,gross_margin,2.0208049683853297,2020-10,2020-10-31T00:00:00
CloudSync Pro,SaaS,Finance,gross_margin,2.0687310499542026,2020-11,2020-11-30T00:00:00
CloudSync Pro,SaaS,Finance,gross_margin,2.123970599844389,2020-12,2020-12-30T00:00:00
CloudSync Pro,SaaS,Finance,gross_margin,2.1854247278710868,2021-01,2021-01-29T00:00:00
CloudSync Pro,SaaS,Finance,gross_margin,2.067859328295716,2021-02,2021-02-28T00:00:00
CloudSync Pro,SaaS,Finance,gross_margin,1.8620167234444578,2021-03,2021-03-30T00:00:00
CloudSync Pro,SaaS,Finance,gross_margin,1.9213364222503435,2021-04,2021-04-29T00:00:00
CloudSync Pro,SaaS,Finance,gross_margin,1.6014546494058148,2021-05,2021-05-29T00:00:00
CloudSync Pro,SaaS,Finance,gross_margin,1.9927561775903035,2021-06,2021-06-28T00:00:00
CloudSync Pro,SaaS,Finance,gross_margin,2.012613772326941,2021-07,2021-07-28T00:00:00
CloudSync Pro,SaaS,Finance,gross_margin,1.988323315092869,2021-08,2021-08-27T00:00:00
CloudSync Pro,SaaS,Finance,gross_margin,1.961699770370728,2021-09,2021-09-26T00:00:00
CloudSync Pro,SaaS,Finance,gross_margin,2.3717761364288688,2021-10,2021-10-26T00:00:00
CloudSync Pro,SaaS,Finance,gross_margin,1.9976764793024797,2021-11,2021-11-25T00:00:00
CloudSync Pro,SaaS,Finance,gross_margin,1.816266461027658,2021-12,2021-12-25T00:00:00
CloudSync Pro,SaaS,Finance,gross_margin,1.7896841094899194,2022-01,2022-01-24T00:00:00
CloudSync Pro,SaaS,Finance,gross_margin,1.744616775052833,2022-02,2022-02-23T00:00:00
CloudSync Pro,SaaS,Finance,gross_margin,1.7165385294746036,2022-03,2022-03-25T00:00:00
CloudSync Pro,SaaS,Finance,gross_margin,1.732023965514403,2022-04,2022-04-24T00:00:00
CloudSync Pro,SaaS,Finance,gross_margin,1.7877007778728629,2022-05,2022-05-24T00:00:00
CloudSync Pro,SaaS,Finance,gross_margin,1.8409752095928114,2022-06,2022-06-23T00:00:00
CloudSync Pro,SaaS,Finance,gross_margin,2.8518398878317828,2022-07,2022-07-23T00:00:00
CloudSync Pro,SaaS,Finance,gross_margin,2.212248558399061,2022-08,2022-08-22T00:00:00
CloudSync Pro,SaaS,Finance,gross_margin,2.3771864802079805,2022-09,2022-09-21T00:00:00
CloudSync Pro,SaaS,Finance,gross_margin,2.6780688064693536,2022-10,2022-10-21T00:00:00
CloudSync Pro,SaaS,Finance,gross_margin,2.583142374820357,2022-11,2022-11-20T00:00:00
CloudSync Pro,SaaS,Finance,gross_margin,2.4691087423980735,2022-12,2022-12-20T00:00:00
CloudSync Pro,SaaS,Finance,gross_margin,2.196531863724707,2023-01,2023-01-19T00:00:00
CloudSync Pro,SaaS,Finance,gross_margin,2.6043747579168284,2023-02,2023-02-18T00:00:00
CloudSync Pro,SaaS,Finance,gross_margin,2.5417087814569372,2023-03,2023-03-20T00:00:00
CloudSync Pro,SaaS,Finance,gross_margin,2.647656618578633,2023-04,2023-04-19T00:00:00
CloudSync Pro,SaaS,Finance,gross_margin,2.3288568640908647,2023-05,2023-05-19T00:00:00
CloudSync Pro,SaaS,Finance,gross_margin,2.3996707668075,2023-06,2023-06-18T00:00:00
CloudSync Pro,SaaS,Finance,gross_margin,2.233930533065406,2023-07,2023-07-18T00:00:00
CloudSync Pro,SaaS,Finance,gross_margin,2.2394335625101847,2023-08,2023-08-17T00:00:00
CloudSync Pro,SaaS,Finance,gross_margin,2.266507497579849,2023-09,2023-09-16T00:00:00
CloudSync Pro,SaaS,Finance,gross_margin,2.241298895199949,2023-10,2023-10-16T00:00:00
CloudSync Pro,SaaS,Finance,gross_margin,2.3026609639381506,2023-11,2023-11-15T00:00:00
CloudSync Pro,SaaS,Finance,gross_margin,2.6740505101618606,2023-12,2023-12-15T00:00:00
CloudSync Pro,SaaS,Finance,gross_margin,2.619836782153442,2024-01,2024-01-14T00:00:00
CloudSync Pro,SaaS,Finance,gross_margin,2.5787410848775916,2024-02,2024-02-13T00:00:00
CloudSync Pro,SaaS,Finance,gross_margin,2.450874575150453,2024-03,2024-03-14T00:00:00
CloudSync Pro,SaaS,Finance,gross_margin,2.448928348875851,2024-04,2024-04-13T00:00:00
CloudSync Pro,SaaS,Finance,gross_margin,2.7511736817737145,2024-05,2024-05-13T00:00:00
CloudSync Pro,SaaS,Finance,gross_margin,2.3490228739195183,2024-06,2024-06-12T00:00:00
CloudSync Pro,SaaS,Finance,gross_margin,2.5750912383214644,2024-07,2024-07-12T00:00:00
CloudSync Pro,SaaS,Finance,gross_margin,2.3660089021692285,2024-08,2024-08-11T00:00:00
CloudSync Pro,SaaS,Finance,gross_margin,2.128354932303484,2024-09,2024-09-10T00:00:00
CloudSync Pro,SaaS,Finance,gross_margin,2.1273179353585627,2024-10,2024-10-10T00:00:00
CloudSync Pro,SaaS,Finance,gross_margin,2.244496051279655,2024-11,2024-11-09T00:00:00
CloudSync Pro,SaaS,Finance,gross_margin,2.3069405761783117,2024-12,2024-12-09T00:00:00
CloudSync Pro,SaaS,Finance,gross_margin,2.5495740043294024,2025-01,2025-01-08T00:00:00
CloudSync Pro,SaaS,Finance,gross_margin,2.911373779535475,2025-02,2025-02-07T00:00:00
CloudSync Pro,SaaS,Finance,gross_margin,2.805357385490071,2025-03,2025-03-09T00:00:00
CloudSync Pro,SaaS,Finance,gross_margin,2.7515859615532103,2025-04,2025-04-08T00:00:00
CloudSync Pro,SaaS,Finance,gross_margin,2.8870987139021898,2025-05,2025-05-08T00:00:00
CloudSync Pro,SaaS,Finance,gross_margin,3.0512750337527335,2025-06,2025-06-07T00:00:00
CloudSync Pro,SaaS,Finance,gross_margin,3.945295068950657,2025-07,2025-07-07T00:00:00
CloudSync Pro,SaaS,Finance,gross_margin,3.1578502981399126,2025-08,2025-08-06T00:00:00
CloudSync Pro,SaaS,Finance,gross_margin,2.9270477556166616,2025-09,2025-09-05T00:00:00
CloudSync Pro,SaaS,Finance,gross_margin,3.1225427989897123,2025-10,2025-10-05T00:00:00
CloudSync Pro,SaaS,Finance,gross_margin,2.835061028903558,2025-11,2025-11-04T00:00:00
CloudSync Pro,SaaS,Finance,gross_margin,3.007430613103013,2025-12,2025-12-04T00:00:00
CloudSync Pro,SaaS,Finance,gross_margin,3.018622484210741,2026-01,2026-01-03T00:00:00
CloudSync Pro,SaaS,Finance,gross_margin,2.4888117644181302,2026-02,2026-02-02T00:00:00
